Username,Round,Status,Country,GMAT,UG GPA,UG Major,Int,Int Invite,Age,WE,Primary Industry,Primary Function,MBA Concentration
a**********,R1,Denied with Interview,United States,690,3.46,Economics,N,,34,11,Consumer Products,Sales,Marketing
ynmbana,R1,Admitted,,750,3.57,Business,Y,,,0,,,Finance
silentcacophony,R2,,India,,,Computer Science,N,,27,5,Retail,Information Technology,General Management
chemE42,R1,Admitted,United States,730,3.17,Engineering,N,10-02-2014,,0,Energy and Utilities,Operations,General Management
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
jericho,R2,Interviewed,Taiwan,700,,,Y,01-06-2015,,0,,,
lawanyav,R1,Applying,,,,,N,,,0,,,
krishnakanthk,R2,Applying,India,710,3.75,Engineering,N,,27,5,Consulting,Analyst,Finance
cawainaman,R2,Applying,,,,,N,,,0,,,
sachdix,R1,Denied without Interview,India,720,,Engineering,N,,28,7,Investment Banking,Investment Banking,Finance
iamgrunt,R1,Denied with Interview,,770,,,Y,02-02-2015,,0,,,
goodluckmba17,R2,Waitlisted with Interview,Canada,760,,,N,,,0,,,
anthien128,R1,Applying,,,,,N,,,0,,,Marketing
dr0xlunltd,R1,Denied with Interview,United States,710,3.28,Engineering,Y,,30,7,Real Estate,Project Management,Real Estate
maxpayne87,R3,Denied with Interview,,730,,Engineering,N,,,,,,
kuliyevanm,R2,Interviewed,,,,,N,,,0,,,
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
big4sucks,R1,Denied with Interview,United States,760,3.5,Accounting,Y,10-01-2014,27,5,,Corporate Finance,Finance
p*********,R2,Interviewed,India,,,Computer Science,N,,25,3,Internet and New Media,Analyst,Entrepreneurship
nikhilarora88,R1,Applying,India,710,,,N,,25,0,Computer Software,Information Technology,Strategy
Sampo,R2,Denied with Interview,,730,3.7,Engineering,N,,27,3,Consulting,Analyst,Technology
DorkusMaximus,R2,Denied with Interview,,750,,,Y,02-06-2015,,,,,Marketing
mbaa2015,R2,Interviewed,United States,,,,N,,,,,,Marketing
far257,R1,Admitted,Canada,750,3.4,Finance,N,,26,4,Consulting,Analyst,Finance
magse7en,R2,Denied with Interview,,690,3.6,,N,,,0,,,
i**********,R2,Invited to Interview,,740,,Liberal Arts and Humanities,N,01-08-2015,,,,,Social Entrepreneurship
Xgineer,R1,Applying,,600,,Engineering,N,,,0,,,Finance
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
l*********,R2,Application Submitted,United States,710,3.61,Engineering,Y,,,4,Pharmaceuticals and Biotech,Operations,Strategy
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
avrakeshkumar,R2,Applying,,,,Engineering,N,,,0,Computer Hardware,Design,
chand002,R2,Application Submitted,,,,,N,,,0,,,Technology
chocosj,R2,Interviewed,,720,3.25,Engineering,N,,,0,Energy and Utilities,Business Development,Entrepreneurship
reapp2014,R1,Applying,United States,720,3.4,Engineering,N,,27,4,Consulting,Analyst,Leadership
kieulien123456,R2,Applying,United States,680,,Economics,N,,,0,Consumer Products,Business Development,Marketing
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
NickHalden,R1,Applying,,,3.6,Computer Science,N,,17,0,Computer Software,Engineering,Marketing
a*******,R3,Denied with Interview,,670,3.2,Economics,Y,,,,,,General Management
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
usmabama,R1,Denied with Interview,United States,700,3.25,Engineering,Y,,29,6,Military & Defense,Military Officer,Strategy
Kprasannasbi,R2,,,,2.11,Engineering,N,,,0,,,Finance
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
swagon1000,R1,Denied with Interview,,650,3.4,Liberal Arts and Humanities,Y,10-01-2014,,,,,Healthcare
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
lemonkey,R2,Admitted,,,3.3,Other,Y,,,,,,
a***********,R2,Withdrawn Application,,,,Business,N,,31,0,,,Marketing
x**,R2,Admitted,United States,770,3.7,,N,01-07-2015,,0,,,
shahibipul,R1,Denied without Interview,India,740,3.43,Engineering,N,,30,0,Manufacturing,Business Development,General Management
Tobymac,R3,Application Submitted,,,,,N,,,0,,,
garvsawhney,R2,Denied with Interview,India,750,3.33,Engineering,N,02-06-2015,,0,Consulting,Information Technology,General Management
llb890,R1,Admitted,,760,3.84,,N,,,0,,,
adimitl86,R1,Application Submitted,,,,Other,N,,28,6,Retail,Other,Strategy
s********,R2,Admitted,,740,,Engineering,Y,01-15-2015,,,,,Nonprofit
navkaran,R2,Applying,,,,,N,,,0,,,
v*******,R1,Applying,,,,Engineering,N,,,,,,Strategy
Supernova29,R1,Applying,,640,,Economics,N,,,0,,,Marketing
Sk1ver,R2,Admitted,Russian Federation,690,,Economics,N,01-08-2015,29,6,Accounting,,
aaronywang,R1,Waitlisted with Interview,,740,,,N,,,0,,,
abacaxi,R1,Admitted,,700,,,N,,,0,,,
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
garfield19,R1,Applying,India,710,3.7,Engineering,N,,16,0,Computer Software,Information Technology,Technology
p*********,R1,Admitted,United States,760,3.35,Liberal Arts and Humanities,N,,29,7,Health Care,Consulting,Healthcare
crackmba2012,R2,Interviewed,,700,,,N,02-06-2015,,0,,,
petebi,R1,Waitlisted with Interview,United States,720,3.81,Accounting,N,,26,6,Accounting,Accounting,General Management
LifeLiver,R1,Admitted,United States,730,,Engineering,Y,,26,4,Aerospace and Defense,Engineering,Technology
ST2014,R1,Applying,United States,760,3.48,Engineering,N,,26,5,Energy and Utilities,General Management,General Management
krishnutt,R2,Applying,,,,,N,,,0,,,
SachinWordsmith,R1,Denied without Interview,,750,,Marketing,N,,,,,,Strategy
dexmex88,R1,Applying,,,3.3,Science and Math,N,,28,4,Retail,Analyst,Strategy
rsk02003,R1,Applying,United States,,,,N,,29,6,Non-Profit and Government,Consulting,Real Estate
rrubio,R1,,,,,,N,,,0,,,
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
F*********,R2,Denied with Interview,,,,,N,,25,0,Computer Software,Business Development,Marketing
sinsomnia,R2,,,,,,N,,,0,,,
betoj88,R1,Interviewed,,,,,N,,,0,,,
forevertfc,R1,Waitlisted with Interview,,750,,,N,,,,,,Marketing
Transcendentalist,R1,Admitted,,770,,Engineering,Y,10-11-2014,32,1,Internet and New Media,Business Development,Sustainability
Knights,R2,Admitted,India,750,3.8,Engineering,N,,,0,Energy and Utilities,Supply Chain Management,Entrepreneurship
