,Username,Round,Status,Country,GMAT,UG GPA,UG Major,Int,Int Invite,Age,WE,Primary Industry,Primary Function,MBA Concentration
0,l*************,R3,Matriculating,United States,730.0,3.09,Computer Science,Y,02-17-2015,27.0,7.0,Other,Analyst,
1,Private,,,,,,,,,,,,,
2,abhinavc89,R1,Applying,,,,,N,,,0.0,,,
3,marsh0408,R3,Invited to Interview,,760.0,,,N,02-11-2015,,0.0,,,
4,bhaskardkulkarni,R2,Applying,United States,,3.63,Engineering,N,,33.0,5.0,Investment Banking,Investment Banking,Finance
5,krishnakanthk,R2,Applying,India,710.0,3.75,Engineering,N,,27.0,5.0,Consulting,Analyst,Finance
6,cawainaman,R1,Applying,,,,,N,,,0.0,,,
7,sachdix,R2,Denied without Interview,India,720.0,,Engineering,N,,28.0,7.0,Investment Banking,Investment Banking,Finance
8,JayKay,R2,Applying,India,760.0,2.8,Engineering,N,,31.0,9.0,Computer Software,Information Technology,Technology
9,marirs,R1,Applying,,,,,N,,,0.0,,,
10,dr0xlunltd,R1,Waitlisted with Interview,United States,710.0,3.28,Engineering,N,12-01-2014,30.0,7.0,Real Estate,Project Management,Real Estate
11,Private,,,,,,,,,,,,,
12,bohdan01,R1,Denied without Interview,,,,,N,,,0.0,,,
13,akshaydiljit,R1,Applying,,,4.0,Engineering,N,,,0.0,,,Finance
14,Private,,,,,,,,,,,,,
15,zw12345,R1,Applying,,,,,N,,,0.0,,,
16,duffman26,R2,Waitlisted without Interview,India,700.0,3.7,Accounting,N,,28.0,8.0,Internet and New Media,Business Development,Real Estate
17,akhil911,R2,Applying,United States,,3.0,Engineering,N,,22.0,4.0,Computer Software,Analyst,Economics
18,endy2,R2,Waitlisted without Interview,,,,,N,,,0.0,,,
19,Private,,,,,,,,,,,,,
20,sadruzzaman,R1,Applying,Bangladesh,,3.0,Marketing,N,,14.0,0.0,Consulting,Marketing,Marketing
21,reapp2014,R1,Applying,United States,720.0,3.4,Engineering,N,,27.0,4.0,Consulting,Analyst,Leadership
22,pushkar78,R1,Applying,India,,,Engineering,N,,,0.0,Manufacturing,Engineering,Finance
23,a*******,R1,Admitted from WL,,670.0,3.2,Economics,Y,04-21-2015,,,,,General Management
24,NewPositiveSoul,R1,Applying,,,3.48,Liberal Arts and Humanities,N,,,0.0,Investment Banking,Securities Sales and Trading,Finance
25,Kprasannasbi,R2,,,,2.11,Engineering,N,,,0.0,,,Finance
26,lemonkey,R3,Waitlisted without Interview,,,3.3,Other,N,,,,,,
27,Private,,,,,,,,,,,,,
28,Private,,,,,,,,,,,,,
29,Private,,,,,,,,,,,,,
30,jryan131,R1,,,,,,N,,,0.0,,,
31,M********,R1,Interviewed,India,710.0,,Engineering,Y,02-25-2015,,,,,Social Entrepreneurship
32,adimitl86,R1,Application Submitted,,,,Other,N,,28.0,6.0,Retail,Other,Strategy
33,noopur06,R1,Invited to Interview,,750.0,,Economics,N,12-11-2014,,,,,
34,karimsousse,R1,,,,,,N,,,0.0,,,
35,oxygen007,R1,Invited to Interview,,760.0,,,N,12-04-2014,,0.0,,,
36,Private,,,,,,,,,,,,,
37,Private,,,,,,,,,,,,,
38,rsk02003,R1,Applying,United States,,,,N,,29.0,6.0,Non-Profit and Government,Consulting,Real Estate
39,kchung3,R2,Admitted,,730.0,,Accounting,Y,12-29-2014,,0.0,Investment Banking,Investment Banking,Finance
40,carospin,R1,Applying,,630.0,3.37,Finance,N,,27.0,2.0,Investment Banking,Asset Management,Finance
41,rrubio,R1,,,,,,N,,,0.0,,,
42,sinsomnia,R2,,,,,,N,,,0.0,,,
43,Private,,,,,,,,,,,,,
44,Devon,R1,Matriculating,United States,750.0,3.02,Engineering,Y,11-06-2014,28.0,5.0,Other,Engineering,Finance
45,Private,,,,,,,,,,,,,
46,Mattferg,R1,Applying,United States,,,Business,N,,,0.0,Commercial Banking,Analyst,Finance
47,bhushileo,R1,Applying,,,,,N,,,0.0,,,
48,rkang52,R1,Applying,,,,Business,N,,21.0,0.0,Consulting,Analyst,Marketing
49,Private,,,,,,,,,,,,,
50,mickeysolomon,R1,Applying,United States,,3.1,Business,N,,,0.0,Commercial Banking,Other,General Management
51,maf1182,R1,Applying,Argentina,660.0,3.6,Business,N,,27.0,5.0,Consumer Products,Sales,Marketing
52,Private,,,,,,,,,,,,,
53,hugoness,R1,Waitlisted without Interview,Spain,760.0,,Health or Medical,N,,,0.0,Health Care,Medicine and Health,
54,B*********,R3,Denied without Interview,,,,Engineering,N,,,,,,Strategy
55,ducks41468,R3,Withdrawn Application,United States,720.0,3.84,Engineering,N,03-03-2015,26.0,4.0,Energy and Utilities,Consulting,Finance
56,anuraagkamath,R2,Application Submitted,,710.0,,Engineering,N,,,0.0,,,General Management
57,arjunkumar,R1,Admitted,,740.0,,,N,,,0.0,,,Statistics
58,Private,,,,,,,,,,,,,
59,Private,,,,,,,,,,,,,
60,Private,,,,,,,,,,,,,
61,Cannizzaro,R2,Matriculating,,760.0,,Engineering,Y,12-10-2014,,0.0,Computer Software,Engineering,Finance
62,GreatDane88,R3,Application Submitted,,,3.6,Finance,N,,,,,,Real Estate
63,dheeraj787,R1,Applying,,,3.97,Engineering,N,,,0.0,,,General Management
64,Zeg102,R1,Denied without Interview,,700.0,3.43,Finance,N,,25.0,3.0,Consulting,Consulting,Strategy
65,Aabhas,R1,,,,,,N,,,0.0,,,
66,xkshq,R3,Admitted,,,,Finance,Y,01-21-2015,,,,,Entrepreneurship
67,u*****,R1,Applying,United States,,,Engineering,N,,,5.0,Retail Banking,Sales,
68,GAS2017,R3,Applying,Trinidad and Tobago,,,Economics,N,,29.0,5.0,,,Marketing
69,rohitenigma,R1,Applying,,620.0,,,N,,,0.0,,,
70,mfel,R2,Waitlisted without Interview,,,3.54,Business,N,,27.0,4.0,Internet and New Media,Project Management,Technology
71,t***,R2,Denied without Interview,France,740.0,,Engineering,N,,29.0,4.0,Energy and Utilities,Corporate Finance,Strategy
72,Private,,,,,,,,,,,,,
73,sp122787,R2,Waitlisted without Interview,United States,710.0,3.06,Economics,N,,27.0,4.0,Investment Banking,Research,Finance
74,Private,,,,,,,,,,,,,
75,Skidevil8,R1,Denied without Interview,United States,730.0,3.04,Liberal Arts and Humanities,N,,29.0,6.0,Consulting,Consulting,
76,Abez,R1,Denied without Interview,Russian Federation,690.0,3.5,Finance,N,,28.0,6.0,Manufacturing,Corporate Finance,General Management
77,Private,,,,,,,,,,,,,
78,Private,,,,,,,,,,,,,
79,sathiyavelan,R1,Applying,,,,,N,,,0.0,,,General Management
80,k******,R1,Applying,United States,,,Business,N,,28.0,5.0,Health Care,Accounting,Healthcare
81,whitehalo,R1,,,,3.76,Accounting,N,,18.0,0.0,,,Finance
82,ap22201,R1,Applying,,,,,N,,,0.0,,,
83,Tryingreallyhard,R1,Applying,,,,,N,,,0.0,,,
84,tarunsidana,R1,Applying,India,,,Computer Science,N,,,3.0,Telecommunications,Information Technology,General Management
85,MissC,R1,Applying,,,,,N,,,0.0,,,
86,Private,,,,,,,,,,,,,
87,cosmopolitan,R2,Admitted,,720.0,,Business,Y,12-11-2014,,,,,
88,DaOne32,R1,Denied without Interview,United States,710.0,3.55,Finance,N,,27.0,5.0,Investment Banking,Securities Sales and Trading,Finance
89,jsumeet22,R1,Applying,,,3.45,Engineering,N,,,1.0,Transportation,Engineering,Finance
90,Private,,,,,,,,,,,,,
91,Private,,,,,,,,,,,,,
92,v***,R2,Interviewed,,760.0,,Engineering,N,,,0.0,,,Leadership
93,kp1989,R3,Applying,United States,,3.03,Computer Science,N,,,0.0,,,
94,brado41,R1,Applying,United States,720.0,3.55,Engineering,N,,25.0,3.0,Consulting,Information Technology,Finance
95,DaewonChung,R1,Applying,,,,,N,,,0.0,,,
96,Private,,,,,,,,,,,,,
97,Tegan490,R3,Withdrawn Application,,740.0,3.14,,N,02-02-2015,,4.0,,Sales,
98,Private,,,,,,,,,,,,,
99,Private,,,,,,,,,,,,,
100,mferrando@nexenconsulting.com.ar,R1,Applying,,,,,N,,,0.0,,,
101,G*****,R1,Admitted,Mexico,,,Accounting,N,12-09-2014,,,,,Finance
102,victoriaforte,R1,,,,,,N,,,0.0,,,
103,Private,,,,,,,,,,,,,
104,soodgaurav,R2,Application Submitted,,760.0,,,N,12-11-2014,,0.0,,,Finance
105,onnurilee,R1,Applying,,,,,N,,,0.0,,,Strategy
106,NG4649,R2,Applying,,710.0,,,N,,,0.0,Investment Banking,Corporate Finance,
107,v*******,R1,,United States,700.0,,Business,N,,25.0,0.0,,Asset Management,Finance
108,s*****,R2,Denied without Interview,,,,,N,,,,,,
