Username,Round,Status,Country,GMAT,UG GPA,UG Major,Int,Int Invite,Age,WE,Primary Industry,Primary Function,MBA Concentration
Mysterio24,R2,Applying,,,,,N,,,0,,,
sachin2040,R2,Applying,,700,,,N,,,0,,,International Business
spiceguy,R1,Application Submitted,United States,710,,Engineering,N,,,9,Computer Software,Engineering,Technology
moosehead,R1,Applying,,,,,N,,,0,,,
Hapinachu,R1,Applying,,,,Arts,N,,,0,,Asset Management,Nonprofit
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
n***,R1,Application Submitted,United States,690,3.6,Engineering,N,,33,10,Computer Software,Information Technology,Strategy
Summer245,R1,Applying,United States,,3.4,Finance,N,,25,2,Accounting,Accounting,
tuanquang269,R2,Applying,Viet Nam,,3.07,Business,N,,,0,,Marketing,International Business
rafgimenes,R1,Invited to Interview,Brazil,700,3,Engineering,Y,10-26-2015,27,4,Consulting,Consulting,General Management
shashankiim,R1,Applying,,,,Engineering,N,,,0,,,
newfish,R1,Application Submitted,India,740,,Engineering,N,,25,4,Consulting,Analyst,Marketing
BrainFog,R1,Applying,,,,,N,,,0,,,
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
AK_X3,R1,Invited to Interview,United States,770,3.39,Business,Y,10-26-2015,27,6,Computer Software,Business Development,Technology
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
Applicant1221,R1,Application Submitted,United Kingdom,,,Engineering,N,,,,,,
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
KaptainK,R1,Application Submitted,,730,,,N,,,,,,Healthcare
dataman,R2,Applying,Australia,710,,Engineering,N,,,0,Consulting,,Technology
Heisman,R1,Applying,,710,3.62,Marketing,N,,,,,,Marketing
jimmyluthra,R1,Applying,,,,,N,,,0,,,
siva101424,R1,Applying,United States,,,Engineering,N,,22,0,Manufacturing,Supply Chain Management,Operations
pratatbits,R1,Application Submitted,,740,,Computer Science,N,,27,5,Computer Software,Engineering,Strategy
vulajrob,R1,,,700,3.65,,N,,,0,,Brand Management,Strategy
dragfire,R1,Application Submitted,India,,,,N,,,0,Hospitality and Tourism,General Management,Entrepreneurship
SHA4,R2,Applying,,,2.72,Engineering,N,,,0,,,Marketing
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
sachin6016,R1,Application Submitted,United States,750,,,N,,,0,,,
Ywake,R1,Applying,,,,,N,,,0,,,
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
johndoe2016,R1,Applying,India,730,3.6,Engineering,N,,28,0,Consulting,Management Consulting,Healthcare
shalincshah,R1,Applying,,,,,N,,,0,,,
johnsonhwang871111,R1,Applying,Singapore,720,,Business,N,,29,6,Consumer Electronics,Supply Chain Management,Operations
ritikagaur123,R1,Applying,,690,,,N,,,0,,,
pankajvashist,R2,Applying,United States,710,3.02,Engineering,N,,22,5,Telecommunications,Design,General Management
