Username,Round,Status,Country,GMAT,UG GPA,UG Major,Int,Int Invite,Age,WE,Primary Industry,Primary Function,MBA Concentration
kevin221,R2,Admitted,,,,,N,,,0,,,
hern007,R2,Application Submitted,,,3.44,Economics,N,,,0,,,
crazycow,R1,Application Submitted,United States,,,,N,,,0,,,
Piyush1108,R1,Applying,,,,,N,,,0,,,
TrojanWarrior,R1,Denied without Interview,,700,3.1,,N,,,,,,Technology
lapras,R2,Waitlisted without Interview,,770,3,Finance,N,,26,5,,,Finance
v********,R2,Applying,,760,3.3,Economics,N,,,,,,Strategy
mbroggiato,R1,Applying,,,,,N,,,0,,,
P******,R2,Waitlisted without Interview,United States,730,3.5,Economics,N,,,0,Non-Profit and Government,,Finance
kidchaos,R1,Denied without Interview,India,710,,Engineering,N,,24,3,Other,Marketing,Marketing
VikramMukhi,R1,Application Submitted,,,,,N,,,0,,,
HotFuzz,R1,Matriculating,,730,,,N,,,0,,,
leodondon,R1,Admitted,Hong Kong,770,,,N,,,0,,,Finance
y*********,R2,Application Submitted,,730,4,Science and Math,N,,,0,Other,Consulting,Strategy
V*******,R2,Waitlisted without Interview,United States,750,,Engineering,N,,,,,,Healthcare
hilaire,R1,Invited to Interview,,650,,,N,03-28-2013,,0,,,
Vargen,R1,Withdrawn Application,Norway,710,,Science and Math,N,04-09-2013,29,6,Insurance,Analyst,Strategy
GPT55,R1,Admitted,,720,,Law,N,12-20-2012,28,4,Non-Profit and Government,Law,Finance
vatsas,R2,Application Submitted,United States,730,3.6,Engineering,N,,32,1,Consulting,Information Technology,Finance
ArtistInTheAmbulance,R2,Applying,United States,,3.3,Business,N,,31,8,Other,Business Development,
consultantmbbb,R2,Admitted,United States,730,,,N,,,6,Consulting,,Finance
m*******,R1,Waitlisted without Interview,India,760,3.66,Engineering,N,,27,3,Pharmaceuticals and Biotech,Consulting,Marketing
M*********,R1,Admitted,United States,740,3.65,Finance,N,,26,4,Consulting,Consulting,Finance
Z****,R2,Admitted,United States,730,,,N,,,,,,Marketing
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
n*********,R2,Waitlisted without Interview,United States,710,3.59,Accounting,N,,27,6,Accounting,Consulting,Entrepreneurship
Gooze,R2,Applying,United States,,2.92,Economics,N,,30,7,Mutual Funds and Brokerage,Other,Finance
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
d*******,R2,Waitlisted without Interview,India,730,,Engineering,N,,27,5,Investment Banking,Investment Banking,Finance
c******,R2,Denied without Interview,,680,3.45,Economics,N,,28,5,Computer Software,Corporate Finance,Strategy
AlexanderSA,R2,Applying,,,,Engineering,N,,29,6,Military & Defense,General Management,Marketing
