id,type,legal_basis,pdf_link,programme,reg_date,remark,address,birth,citizen,name,passport,serialid
1,P,151/2012 (OJ L 49),http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2012:049:0002:0016:EN:PDF,ZWE,2012-02-23,Date of designation referred to in Article 7 (2): 21.2.2002.,,1924-02-21,,Mugabe Robert Gabriel M President,AD001095 (passport),1
13,P,1210/2003 (OJ L 169),http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF,IRQ,2003-07-09,UNSC RESOLUTION 1483,,"1937-04-28 al-Awja, near Tikrit IRQ",IRQ,"Hussein Al-Tikriti Saddam M , Abu Ali , Abou Ali FR",,2
20,P,1210/2003 (OJ L 169),http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF,IRQ,2003-07-09,Saddam's second son,,"1965 Baghdad , 1966 Baghdad",IRQ,"Hussein Al-Tikriti Qusay Saddam M Oversaw Special Republican Guard, Special Security Organisation, and Republican Guard , Hussein Al-Tikriti Qoussa Saddam FR",,3
23,P,1210/2003 (OJ L 169),http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF,IRQ,2003-07-09,Saddam's eldest son,,"1964 Baghdad , 1967 Baghdad",", IRQ","Hussein Al-Tikriti Uday Saddam M Leader of Paramilitary Organisation Fedayeen Saddam , Hussein Al-Tikriti Ouda Saddam FR",,4
25,P,1210/2003 (OJ L 169),http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF,IRQ,2003-07-09,,,"1957 circa al-Awja, near Tikrit",IRQ,"Abid Hamid Mahmud Al-Tikriti M Saddam's Presidential Secretary and Key Advisor , Abid Hamid Bid Hamid Mahmud M Saddam's Presidential Secretary and Key Advisor , Abdel Hamid Mahmoud M Col Saddam's Presidential Secretary and Key Advisor , Abed Mahmoud Hammud M Saddam's Presidential Secretary and Key Advisor , Abid Hamid Mahmoud Al-Tikriti FR , Abid Hamid Bid Hamid Mahmoud FR , Abed Mahmoud Hammoud FR",,5
29,P,1210/2003 (OJ L 169),http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF,IRQ,2003-07-09,UNSC RESOLUTION 1483 BASIS,,"1943 al-Awja, near Tikrit IRQ , Al-Awja, near Tikrit (J.O. ES)",IRQ,"Ali Hassan Al-Majid Al-Tikriti M Presidential Advisor and Senior Member of Revolutionary Command Council , Al-Kimawi M Presidential Advisor and Senior Member of Revolutionary Command Council",,6
33,P,1210/2003 (OJ L 169),http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF,IRQ,2003-07-09,UNSC RESOLUTION 1483 BASIS,,"1942 al-Dur , Al-Dur (J.O. ES)",IRQ,"Izzat Ibrahim al-Duri M Deputy Commander-in-Chief of Iraqi Military , Abu Brays M Deputy Secretary, Ba'th Party Regional Command , Abu Ahmad M Vice Chairman, Revolutionary Command Council , Izzat Ibrahim al-Duri M Deputy Secretary, Ba'th Party Regional Command , Izzat Ibrahim al-Duri M Vice Chairman, Revolutionary Command Council , Abu Brays M Deputy Commander-in-Chief of Iraqi Military , Abu Brays M Vice Chairman, Revolutionary Command Council , Abu Ahmad M Deputy Commander-in-Chief of Iraqi Military, , Abu Ahmad M Deputy Secretary, Ba'th Party Regional Command , Izzat Ibrahim Al-Duri ES , Izzat Ibrahim al-Douri FR",,7
39,P,1210/2003 (OJ L 169),http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF,IRQ,2003-07-09,,,"1962 circa al-Awja, near Tikrit",IRQ,"Hani Abd-Al-Latif Tilfah Al-Tikriti No 2 in Special Security Organisation , Hani Abdel-Latif Tilfah Al-Tikriti FR",,8
43,P,1210/2003 (OJ L 169),http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF,IRQ,2003-07-09,UNSC RESOLUTION 1483 BASIS,,"1941 An Nasiriyah , 1945 An Nasiriyah , Nassiriya (J.O. FR)",IRQ,"Aziz Salih al-Numan Ba'th Party Regional Command Chairman , Aziz Salih al-Numan Former Governor of Karbala and An Najaf; , Aziz Salih al-Numan Former Minister of Agriculture and Agrarian Reform (1986-1987) , Aziz Salih Al-Numan ES , Aziz Salih al-Nouman Prsident du commandement rgional du parti Baas FR , Aziz Salih al-Numan Ancien gouverneur de Kerbala et de Najaf FR",,9
46,P,1210/2003 (OJ L 169),http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF,IRQ,2003-07-09,UNSC RESOLUTION 1483 BASIS,,"1938 Babylon, Babil , Babylone, Babil (J.O. FR)",IRQ,"Muhammad Hamza Zubaidi Former Prime Minister , Mohammed Hamza Zoubadi FR",,10
